team1,team2,winner,1goals,2goals
QATAR,ECUADOR,ECUADOR,0,2
ENGLAND,IRAN,ENGLAND,6,2
SENEGAL,NETHERLANDS,NETHERLANDS,0,2
UNITED STATES,WALES,WALES,1,1
ARGENTINA,SAUDI ARABIA,SAUDI ARABIA,1,2
DENMARK,TUNISIA,DENMARK,1,0
MEXICO,POLAND,MEXICO,1,0
FRANCE,AUSTRALIA,FRANCE,4,1
MOROCCO,CROATIA,CROATIA,1,1
GERMANY,JAPAN,JAPAN,1,2
SPAIN,COSTA RICA,SPAIN,7,0
BELGIUM,CANADA,BELGIUM,1,0
SWITZERLAND,CAMEROON,SWITZERLAND,1,0
URUGUAY,KOREA REPUBLIC,URUGUAY,1,0
PORTUGAL,GHANA,PORTUGAL,3,2
BRAZIL,SERBIA,BRAZIL,2,0
WALES,IRAN,WALES,1,1
QATAR,SENEGAL,SENEGAL,1,3
NETHERLANDS,ECUADOR,NETHERLANDS,1,1
ENGLAND,UNITED STATES,ENGLAND,0,0
TUNISIA,AUSTRALIA,AUSTRALIA,0,1
POLAND,SAUDI ARABIA,POLAND,2,0
FRANCE,DENMARK,FRANCE,2,1
ARGENTINA,MEXICO,ARGENTINA,2,0
JAPAN,COSTA RICA,COSTA RICA,1,1
BELGIUM,MOROCCO,MOROCCO,0,2
CROATIA,CANADA,CROATIA,4,1
SPAIN,GERMANY,SPAIN,1,1
CAMEROON,SERBIA,SERBIA,1,3
KOREA REPUBLIC,GHANA,GHANA,2,3
BRAZIL,SWITZERLAND,BRAZIL,1,0
PORTUGAL,URUGUAY,PORTUGAL,2,0
NETHERLANDS,QATAR,NETHERLANDS,2,0
ECUADOR,SENEGAL,ECUADOR,1,2
WALES,ENGLAND,WALES,1,1
IRAN,UNITED STATES,UNITED STATES,0,1
AUSTRALIA,DENMARK,AUSTRALIA,1,0
TUNISIA,FRANCE,FRANCE,0,1
POLAND,ARGENTINA,ARGENTINA,0,2
SAUDI ARABIA,MEXICO,MEXICO,1,2
CROATIA,BELGIUM,BELGIUM,1,1
CANADA,MOROCCO,MOROCCO,1,2
SERBIA,SWITZERLAND,SWITZERLAND,2,3
JAPAN,SPAIN,JAPAN,2,1
COSTA RICA,GERMANY,GERMANY,2,4
GHANA,URUGUAY,URUGUAY,0,2
KOREA REPUBLIC,PORTUGAL,PORTUGAL,1,2
CAMEROON,BRAZIL,BRAZIL,1,2
NETHERLANDS,UNITED STATES,NETHERLANDS,3,1
ARGENTINA,AUSTRALIA,ARGENTINA,2,1
FRANCE,POLAND,POLAND,1,1
ENGLAND,SENEGAL,ENGLAND,3,0
JAPAN,CROATIA,JAPAN,1,1
BRAZIL,KOREA REPUBLIC,BRAZIL,4,1
MOROCCO,SPAIN,MOROCCO,1,1
PORTUGAL,SWITZERLAND,PORTUGAL,6,1
CROATIA,BRAZIL,BRAZIL,1,4
NETHERLANDS,ARGENTINA,ARGENTINA,2,3
MOROCCO,PORTUGAL,MOROCCO,1,0
ENGLAND,FRANCE,ENGLAND,1,2
ARGENTINA,CROATIA,ARGENTINA,3,0
FRANCE,MOROCCO,FRANCE,2,0
CROATIA,MOROCCO,MOROCCO,1,2
ARGENTINA,FRANCE,ARGENTINA,3,3
RUSSIA,SAUDI ARABIA,RUSSIA,5,0
EGYPT,URUGUAY,URUGUAY,0,1
MOROCCO,IRAN,IRAN,0,1
PORTUGAL,SPAIN,DRAW,3,3
FRANCE,AUSTRALIA,FRANCE,2,1
ARGENTINA,ICELAND,DRAW,1,1
PERU,DENMARK,DENMARK,0,1
CROATIA,NIGERIA,CROATIA,2,0
COSTA RICA,SERBIA,SERBIA,0,1
GERMANY,MEXICO,MEXICO,0,1
BRAZIL,SWITZERLAND,DRAW,1,1
SWEDEN,SOUTH KOREA,SWEDEN,1,0
BELGIUM,PANAMA,BELGIUM,3,0
TUNISIA,ENGLAND,ENGLAND,1,2
COLOMBIA,JAPAN,JAPAN,1,2
POLAND,SENEGAL,SENEGAL,1,2
RUSSIA,EGYPT,RUSSIA,3,1
PORTUGAL,MOROCCO,PORTUGAL,1,0
URUGUAY,SAUDI ARABIA,URUGUAY,1,0
IRAN,SPAIN,SPAIN,0,1
DENMARK,AUSTRALIA,DRAW,1,1
FRANCE,PERU,FRANCE,1,0
ARGENTINA,CROATIA,CROATIA,0,3
BRAZIL,COSTA RICA,BRAZIL,2,0
NIGERIA,ICELAND,NIGERIA,2,0
SERBIA,SWITZERLAND,SWITZERLAND,1,2
BELGIUM,TUNISIA,BELGIUM,5,2
SOUTH KOREA,MEXICO,MEXICO,1,2
GERMANY,SWEDEN,GERMANY,2,1
ENGLAND,PANAMA,ENGLAND,6,1
JAPAN,SENEGAL,DRAW,2,2
POLAND,COLOMBIA,COLOMBIA,0,3
URUGUAY,RUSSIA,URUGUAY,3,0
SAUDI ARABIA,EGYPT,SAUDI ARABIA,2,1
SPAIN,MOROCCO,DRAW,2,2
IRAN,PORTUGAL,DRAW,1,1
DENMARK,FRANCE,DRAW,1,1
AUSTRALIA,PERU,PERU,0,2
NIGERIA,ARGENTINA,ARGENTINA,1,2
ICELAND,CROATIA,CROATIA,1,2
SOUTH KOREA,GERMANY,SOUTH KOREA,2,0
MEXICO,SWEDEN,SWEDEN,0,3
SERBIA,BRAZIL,BRAZIL,0,2
SWITZERLAND,COSTA RICA,DRAW,2,2
JAPAN,POLAND,POLAND,0,1
SENEGAL,COLOMBIA,COLOMBIA,0,1
ENGLAND,BELGIUM,BELGIUM,0,1
PANAMA,TUNISIA,TUNISIA,1,2
FRANCE,ARGENTINA,FRANCE,4,3
URUGUAY,PORTUGAL,URUGUAY,2,1
SPAIN,RUSSIA,RUSSIA,1,1
CROATIA,DENMARK,CROATIA,1,1
BRAZIL,MEXICO,BRAZIL,2,0
BELGIUM,JAPAN,BELGIUM,3,2
SWEDEN,SWITZERLAND,SWEDEN,1,0
COLOMBIA,ENGLAND,ENGLAND,1,1
URUGUAY,FRANCE,FRANCE,0,2
BRAZIL,BELGIUM,BELGIUM,1,2
SWEDEN,ENGLAND,ENGLAND,0,2
RUSSIA,CROATIA,CROATIA,2,2
FRANCE,BELGIUM,FRANCE,1,0
CROATIA,ENGLAND,CROATIA,2,1
BELGIUM,ENGLAND,BELGIUM,2,0
FRANCE,CROATIA,FRANCE,4,2
BRAZIL,CROATIA,BRAZIL,3,1
MEXICO,CAMEROON,MEXICO,1,0
SPAIN,NETHERLANDS,NETHERLANDS,1,5
CHILE,AUSTRALIA,CHILE,3,1
COLOMBIA,GREECE,COLOMBIA,3,0
URUGUAY,COSTA RICA,COSTA RICA,1,3
ENGLAND,ITALY,ITALY,1,2
COTE D'IVOIRE,JAPAN,COTE D'IVOIRE,2,1
SWITZERLAND,ECUADOR,SWITZERLAND,2,1
FRANCE,HONDURAS,FRANCE,3,0
ARGENTINA,BOSNIA AND HERZEGOVINA,ARGENTINA,2,1
GERMANY,PORTUGAL,GERMANY,4,0
IRAN,NIGERIA,DRAW,0,0
GHANA,UNITED STATES,UNITED STATES,1,2
BELGIUM,ALGERIA,BELGIUM,2,1
BRAZIL,MEXICO,DRAW,0,0
RUSSIA,SOUTH KOREA,RUSSIA,1,1
AUSTRALIA,NETHERLANDS,NETHERLANDS,2,3
SPAIN,CHILE,CHILE,0,2
CAMEROON,CROATIA,CROATIA,0,4
COLOMBIA,IVORY COAST,COLOMBIA,2,1
JAPAN,GREECE,GREECE,0,0
URUGUAY,ENGLAND,URUGUAY,2,1
ITALY,COSTA RICA,COSTA RICA,0,1
SWITZERLAND,FRANCE,FRANCE,2,5
HONDURAS,ECUADOR,DRAW,1,2
ARGENTINA,IRAN,ARGENTINA,1,0
GERMANY,GHANA,DRAW,2,2
NIGERIA,BOSNIA AND HERZEGOVINA,NIGERIA,1,0
BELGIUM,RUSSIA,BELGIUM,1,0
SOUTH KOREA,ALGERIA,ALGERIA,2,4
UNITED STATES,PORTUGAL,DRAW,2,2
NETHERLANDS,CHILE,NETHERLANDS,2,0
AUSTRALIA,SPAIN,SPAIN,0,3
CROATIA,MEXICO,DRAW,1,3
CAMEROON,BRAZIL,BRAZIL,1,4
ITALY,URUGUAY,URUGUAY,0,1
COSTA RICA,ENGLAND,DRAW,0,0
JAPAN,COLÔMBIA,COLÔMBIA,1,4
GREECE,IVORY COAST,GREECE,2,1
NIGERIA,ARGENTINA,ARGENTINA,2,3
BOSNIA AND HERZEGOVINA,IRAN,IRAN,3,1
HONDURAS,SWITZERLAND,SWITZERLAND,0,3
ECUADOR,FRANCE,DRAW,0,0
PORTUGAL,GHANA,DRAW,2,1
UNITED STATES,GERMANY,GERMANY,0,1
ALGERIA,RUSSIA,DRAW,1,1
SOUTH KOREA,BELGIUM,BELGIUM,0,1
NETHERLANDS,MEXICO,NETHERLANDS,2,1
COSTA RICA,GREECE,COSTA RICA,1,1
ARGENTINA,SWITZERLAND,ARGENTINA,1,0
GERMANY,ALGERIA,GERMANY,2,1
BRAZIL,CHILE,DRAW,1,1
COLOMBIA,URUGUAY,COLOMBIA,2,0
NETHERLANDS,COSTA RICA,NETHERLANDS,0,0
FRANCE,GERMANY,GERMANY,0,1
BRAZIL,GERMANY,GERMANY,1,7
NETHERLANDS,ARGENTINA,DRAW,0,0
BRAZIL,NETHERLANDS,DRAW,0,3
SOUTH AFRICA,MEXICO,DRAW,1,1
